Name,Guns,Launched,Tonnage,log(tonnage),,
Sovereign of the Seas,90,1637,1522.00,3.18,,
Britannia,100,1682,1739.00,3.24,,
Royal Sovereign,100,1701,1883.00,3.27,,
Britannia,100,1719,1895.00,3.28,,
Royal William,100,1719,1918.00,3.28,,
Victory,100,1737,1921.00,3.28,,
Royal George,100,1756,2047.00,3.31,,
Britannia,100,1762,2116.00,3.33,,
Victory,100,1765,2142.00,3.33,,
Royal Sovereign,100,1786,2175.00,3.34,,
Ville de Paris,110,1795,2351.00,3.37,,
Hibernia,110,1804,2530.00,3.40,,
Caledonia,120,1808,2616.00,3.42,,
Nelson,120,1814,2617.00,3.42,,
Howe,120,1815,2619.00,3.42,,
Neptune,120,1832,2694.00,3.43,,
Queen,110,1839,3104.00,3.49,,
Duke of Wellington,131,1852,3759.00,3.58,,
Marlborough,131,1855,3853.00,3.59,,
Victoria,121,1859,4116.00,3.61,,
Howe,121,1860,4236.00,3.63,,
Warrior,40,1860,6039.00,3.78,,
Achilles,26,1863,6121.00,3.79,,
Minotaur,36,1863,6643.00,3.82,,
Inflexible,22,1876,8946.14,3.95,,
